"filename", "language", "Markdown", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\hadri\code\Webpages\Age-of-Rebellion-Universal-Toolset\characterBuilder.html", "HTML", 0, 567, 0, 0, 2, 127, 696
"c:\Users\hadri\code\Webpages\Age-of-Rebellion-Universal-Toolset\characterSheet.html", "HTML", 0, 446, 0, 0, 20, 49, 515
"c:\Users\hadri\code\Webpages\Age-of-Rebellion-Universal-Toolset\css\animation.css", "CSS", 0, 0, 0, 36, 0, 3, 39
"c:\Users\hadri\code\Webpages\Age-of-Rebellion-Universal-Toolset\css\character-builder.css", "CSS", 0, 0, 0, 154, 12, 30, 196
"c:\Users\hadri\code\Webpages\Age-of-Rebellion-Universal-Toolset\css\character.css", "CSS", 0, 0, 0, 554, 38, 116, 708
"c:\Users\hadri\code\Webpages\Age-of-Rebellion-Universal-Toolset\css\global.css", "CSS", 0, 0, 0, 202, 9, 35, 246
"c:\Users\hadri\code\Webpages\Age-of-Rebellion-Universal-Toolset\diceRoller.html", "HTML", 0, 130, 0, 0, 0, 21, 151
"c:\Users\hadri\code\Webpages\Age-of-Rebellion-Universal-Toolset\js\character-builder.js", "JavaScript", 0, 0, 170, 0, 3, 26, 199
"c:\Users\hadri\code\Webpages\Age-of-Rebellion-Universal-Toolset\js\character.js", "JavaScript", 0, 0, 696, 0, 30, 125, 851
"c:\Users\hadri\code\Webpages\Age-of-Rebellion-Universal-Toolset\js\dice.js", "JavaScript", 0, 0, 482, 0, 10, 60, 552
"c:\Users\hadri\code\Webpages\Age-of-Rebellion-Universal-Toolset\js\game.js", "JavaScript", 0, 0, 185, 0, 2, 15, 202
"c:\Users\hadri\code\Webpages\Age-of-Rebellion-Universal-Toolset\js\search.js", "JavaScript", 0, 0, 3, 0, 0, 1, 4
"c:\Users\hadri\code\Webpages\Age-of-Rebellion-Universal-Toolset\readme.md", "Markdown", 13, 0, 0, 0, 0, 10, 23
"Total", "-", 13, 1143, 1536, 946, 126, 618, 4382